,type,size,rent,dist
0,6,148,3500,furong
1,6,158,2600,furong
2,5,111,3200,furong
3,5,137,5800,furong
4,2,40,1500,furong
5,3,80,1500,furong
6,4,90,3000,furong
7,3,80,2800,furong
8,5,93,2400,furong
9,3,56,2400,furong
10,5,108,3000,furong
11,5,126,1200,furong
12,5,110,2700,furong
13,4,90,2700,furong
14,4,89,2200,furong
15,2,46,1000,furong
16,1,25,1500,furong
17,5,115,2600,furong
18,4,115,3500,furong
19,5,128,3500,furong
20,2,100,6000,furong
21,1,100,5500,furong
22,4,84,3100,furong
23,4,92,2400,furong
24,6,161,4500,furong
25,5,118,2500,furong
26,4,90,2700,furong
27,6,171,4800,furong
28,4,97,2300,furong
29,3,114,3300,furong
30,1,35,1800,furong
31,3,60,3500,furong
32,3,88,2300,furong
33,3,70,1800,furong
34,5,127,1900,furong
35,4,89,2800,furong
36,2,62,2700,furong
37,3,72,2600,furong
38,2,40,2300,furong
39,5,85,3000,furong
40,4,90,2100,tianxin
41,4,84,2600,tianxin
42,6,156,3500,tianxin
43,4,88,2300,tianxin
44,2,38,1500,tianxin
45,2,38,1450,tianxin
46,5,136,3500,tianxin
47,4,110,1800,tianxin
48,3,89,2100,tianxin
49,5,90,2300,tianxin
50,5,108,1900,tianxin
51,4,90,2000,tianxin
52,3,52,1800,tianxin
53,4,89,1800,tianxin
54,5,128,2800,tianxin
55,5,124,3500,tianxin
56,2,60,2100,tianxin
57,5,160,4000,tianxin
58,5,133,3000,tianxin
59,4,84,1800,tianxin
60,5,116,3000,tianxin
61,3,90,2800,tianxin
62,3,65,2300,tianxin
63,4,105,2300,tianxin
64,4,97,3000,tianxin
65,5,90,2800,tianxin
66,5,133,3000,tianxin
67,7,193,5000,tianxin
68,6,123,1800,tianxin
69,5,196,4500,tianxin
70,3,88,2600,tianxin
71,6,136,10000,tianxin
72,4,80,2500,tianxin
73,7,166,5200,tianxin
74,9,900,54000,tianxin
75,1,40,1600,tianxin
76,4,89,3000,tianxin
77,5,83,2000,tianxin
78,5,130,2700,tianxin
79,4,80,2200,tianxin
80,3,40,1800,tianxin
81,3,75,2700,tianxin
82,4,130,2400,tianxin
83,4,89,2500,tianxin
84,3,75,2400,tianxin
85,3,63,2100,tianxin
86,4,93,2000,tianxin
87,4,90,1800,tianxin
88,6,144,4000,tianxin
89,3,80,2700,tianxin
90,4,90,2600,tianxin
91,5,106,2500,tianxin
92,3,55,2400,tianxin
93,6,164,4000,kaifu
94,5,100,3300,kaifu
95,6,134,3500,kaifu
96,4,84,2100,kaifu
97,5,90,3000,kaifu
98,5,260,7500,kaifu
99,3,88,3200,kaifu
100,5,200,8500,kaifu
101,6,140,3000,kaifu
102,5,122,2800,kaifu
103,4,88,3500,kaifu
104,5,198,6000,kaifu
105,5,199,5000,kaifu
106,5,90,2700,kaifu
107,5,200,7000,kaifu
108,3,88,3000,kaifu
109,5,87,3000,kaifu
110,4,92,2300,kaifu
111,5,103,3200,kaifu
112,4,100,2400,kaifu
113,6,200,6000,kaifu
114,6,200,5500,kaifu
115,5,200,8000,kaifu
116,4,105,2500,kaifu
117,5,142,3500,kaifu
118,3,94,2500,kaifu
119,4,96,2800,kaifu
120,5,126,3200,kaifu
121,4,87,2500,kaifu
122,5,112,4600,kaifu
123,5,200,5800,kaifu
124,5,112,4600,kaifu
125,5,122,3200,kaifu
126,5,144,3000,kaifu
127,4,98,2800,kaifu
128,2,40,1800,kaifu
129,5,106,4500,kaifu
130,5,143,3500,kaifu
131,5,130,3000,kaifu
132,6,200,9000,kaifu
133,5,92,2500,kaifu
134,4,98,3000,kaifu
135,5,90,2800,kaifu
136,2,52,4000,kaifu
137,4,101,4000,kaifu
138,5,107,3800,kaifu
139,3,94,2400,kaifu
140,4,128,3000,kaifu
141,5,130,3200,kaifu
142,4,106,3800,kaifu
143,5,94,2400,kaifu
144,4,90,2400,kaifu
145,5,90,2500,kaifu
146,4,90,2500,kaifu
147,5,94,2600,kaifu
148,5,90,2500,kaifu
149,4,76,2300,kaifu
150,4,116,2700,kaifu
151,5,90,2700,kaifu
152,4,111,3200,yuelu
153,5,90,2500,yuelu
154,2,43,1500,yuelu
155,4,89,3300,yuelu
156,4,74,1900,yuelu
157,3,80,2400,yuelu
158,5,90,3400,yuelu
159,4,100,2500,yuelu
160,5,106,2300,yuelu
161,2,40,1500,yuelu
162,2,44,2500,yuelu
163,2,47,1500,yuelu
164,2,38,1800,yuelu
165,2,36,1600,yuelu
166,4,108,3800,yuelu
167,3,78,2200,yuelu
168,6,127,2500,yuelu
169,5,137,3500,yuelu
170,5,102,2400,yuelu
171,2,43,1800,yuelu
172,5,130,3150,yuelu
173,4,90,2300,yuelu
174,5,122,3800,yuelu
175,4,96,3000,yuelu
176,5,90,2500,yuelu
177,5,90,3000,yuelu
178,3,85,2200,yuelu
179,6,131,3200,yuelu
180,4,90,2300,yuelu
181,5,117,2200,yuelu
182,5,98,3000,yuelu
183,6,162,3500,yuelu
184,4,91,3200,yuelu
185,4,134,3280,yuelu
186,6,130,3000,yuelu
187,3,86,2500,yuelu
188,4,105,1500,yuelu
189,3,69,2600,yuelu
190,6,168,6800,yuelu
191,4,80,2400,yuelu
192,2,44,1600,yuelu
193,6,147,4500,yuelu
194,4,70,2100,yuelu
195,2,34,1600,yuelu
196,5,154,3200,yuelu
197,4,100,2800,yuelu
198,2,45,1700,yuelu
199,2,45,1900,yuelu
200,6,135,4800,yuelu
201,7,177,5800,yuelu
202,4,90,4200,yuelu
203,2,50,1800,yuelu
204,1,38,1500,yuelu
205,5,88,2600,yuelu
206,6,145,3000,yuelu
207,5,89,2500,yuelu
208,5,126,2700,yuelu
209,5,100,3000,yuelu
210,5,137,3100,yuhua
211,5,90,2500,yuhua
212,5,139,2900,yuhua
213,3,70,1600,yuhua
214,5,140,2600,yuhua
215,4,89,2400,yuhua
216,3,67,2400,yuhua
217,2,50,1800,yuhua
218,3,90,2300,yuhua
219,4,88,3600,yuhua
220,1,44,1600,yuhua
221,4,136,4000,yuhua
222,4,95,2600,yuhua
223,2,50,2000,yuhua
224,5,99,3100,yuhua
225,5,139,2900,yuhua
226,3,65,2400,yuhua
227,3,70,1500,yuhua
228,5,90,2700,yuhua
229,5,125,3500,yuhua
230,3,52,1200,yuhua
231,4,91,2300,yuhua
232,4,114,2900,yuhua
233,2,49,1800,yuhua
234,3,49,900,yuhua
235,2,49,2200,yuhua
236,1,52,1800,yuhua
237,3,88,1400,yuhua
238,8,180,3000,yuhua
239,4,90,2200,yuhua
240,3,64,2100,yuhua
241,3,51,1700,yuhua
242,4,90,2500,yuhua
243,3,85,2200,yuhua
244,4,80,1800,yuhua
245,2,47,1400,yuhua
246,2,53,1800,yuhua
247,2,40,1800,yuhua
248,1,54,1600,yuhua
249,1,38,1700,yuhua
250,5,130,3000,yuhua
251,4,88,2400,yuhua
252,4,88,2200,yuhua
253,4,86,2400,yuhua
254,4,94,2800,yuhua
255,5,90,2700,yuhua
256,2,52,1900,yuhua
257,6,162,8000,yuhua
258,1,40,1500,yuhua
259,4,91,2500,yuhua
260,4,95,2500,yuhua
261,5,89,2800,yuhua
262,5,139,2500,yuhua
263,5,137,3500,yuhua
264,2,50,1900,yuhua
265,3,99,2200,yuhua
266,1,43,2100,yuhua
