芙蓉公寓 4室2厅 3500元,芙蓉公寓  ,马王堆租房,4室2厅  ,148平米  ,南,随时看房,3500,1,furong
长房白沙湾 4室2厅 2600元,长房白沙湾  ,马王堆租房,4室2厅  ,158平米  ,南,随时看房,2600,0,furong
长房白沙湾 3室2厅 3200元,长房白沙湾  ,马王堆租房,3室2厅  ,111平米  ,南,随时看房,3200,4,furong
随时可看 业主自住精装修 全新家电,湘域中央  ,火车站租房,3室2厅  ,137平米  ,北,距离2号线袁家岭站284米,5800,1,furong
东方银座 1室1厅 1500元,东方银座  ,马王堆租房,1室1厅  ,40平米  ,南,距离2号线锦泰广场站971米,1500,7,furong
安泰新村 2室1厅 1500元,安泰新村  ,马王堆租房,2室1厅  ,80平米  ,南 北,距离2号线锦泰广场站934米,1500,3,furong
华城广场 2室2厅 3000元,华城广场  ,德政园租房,2室2厅  ,90平米  ,北,距离2号线万家丽广场站760米,3000,1,furong
万象新天 2室1厅 2800元,万象新天  ,晚报租房,2室1厅  ,80平米  ,南,距离2号线长沙火车站站1094米,2800,0,furong
恒大江湾 3室2厅 2400元,恒大江湾  ,汽车东站租房,3室2厅  ,93平米  ,南,随时看房,2400,3,furong
鑫科明珠 3室2厅 3000元,鑫科明珠  ,马王堆租房,3室2厅  ,108平米  ,南,随时看房,3000,4,furong
长房白沙湾 3室2厅 1200元,长房白沙湾  ,马王堆租房,3室2厅  ,126平米  ,南 北,随时看房,1200,2,furong
浏阳河旁 鑫科明珠 南北通透 居家三房,鑫科明珠  ,马王堆租房,3室2厅  ,110平米  ,南 北,随时看房,2700,5,furong
凯通朝南两房，小区环境好，物业管理好。,凯通朝庭  ,火车站租房,2室2厅  ,90平米  ,南,距离2号线长沙火车站站1023米,2700,7,furong
百纳公寓 2室1厅 2400元,百纳公寓  ,马王堆租房,2室1厅  ,56平米  ,南,随时看房,2400,8,furong
运通尊苑 3室1厅 2200元,运通尊苑  ,马王堆租房,3室1厅  ,89平米  ,南,距离2号线锦泰广场站519米,2200,0,furong
都市E站 1室1厅 1000元,都市E站  ,火车站租房,1室1厅  ,46平米  ,东,随时看房,1000,1,furong
凯通朝庭 1室0厅 1500元,凯通朝庭  ,火车站租房,1室0厅  ,25平米  ,北,距离2号线长沙火车站站1023米,1500,1,furong
德政园醉心苑 115平大三房 家具齐全 居家装修,德政园醉心苑  ,德政园租房,3室2厅  ,115平米  ,南 北,距离2号线万家丽广场站1045米,2600,1,furong
百纳公寓 2室2厅 3500元,百纳公寓  ,马王堆租房,2室2厅  ,115平米  ,南,随时看房,3500,3,furong
百纳公寓 3室2厅 3500元,百纳公寓  ,马王堆租房,3室2厅  ,128平米  ,南,距离2号线万家丽广场站493米,3500,2,furong
明城国际中心 2室0厅 6000元,明城国际中心  ,浏城桥租房,2室0厅  ,100平米  ,南,距离2号线芙蓉广场站832米,6000,0,furong
东方芙蓉 1室0厅 5500元,东方芙蓉  ,马王堆租房,1室0厅  ,100平米  ,西北,距离2号线万家丽广场站995米,5500,1,furong
湘域熙岸 2室2厅 3100元,湘域熙岸  ,尚东租房,2室2厅  ,84平米  ,南 北,距离2号线人民东路站294米,3100,2,furong
德政园明心苑 2室2厅1厨2卫 家具齐全 可直接入住,德政园明心苑  ,德政园租房,2室2厅  ,92平米  ,南 北,距离2号线锦泰广场站1062米,2400,13,furong
世嘉国际华城一期 4室2厅 4500元,世嘉国际华城一期  ,芙蓉区政府租房,4室2厅  ,161平米  ,南 北,距离2号线人民东路站307米,4500,1,furong
德政园润心苑 3室2厅 2500元,德政园润心苑  ,德政园租房,3室2厅  ,118平米  ,南 北,距离2号线锦泰广场站1066米,2500,2,furong
德政园润心苑 3室2厅 2500元,德政园润心苑  ,德政园租房,3室2厅  ,118平米  ,南 北,距离2号线锦泰广场站1066米,2500,2,furong
世嘉国际华城一期 4室2厅 4800元,世嘉国际华城一期  ,芙蓉区政府租房,4室2厅  ,171平米  ,南 北,距离2号线人民东路站569米,4800,2,furong
德政园少有的复式楼层三房，户型周正,德政园醉心苑  ,德政园租房,3室1厅  ,97平米  ,东,距离2号线万家丽广场站1102米,2300,0,furong
中惠锦堂 2室1厅 3300元,中惠锦堂  ,尚东租房,2室1厅  ,114平米  ,南,距离2号线人民东路站158米,3300,2,furong
凯通公馆 1室0厅 1800元,凯通公馆  ,火车站租房,1室0厅  ,35平米  ,南,距离2号线长沙火车站站606米,1800,3,furong
五一华府 2室1厅 3500元,五一华府  ,五一广场租房,2室1厅  ,60平米  ,南,距离2号线五一广场站243米,3500,3,furong
东方新城 2室1厅 2300元,东方新城  ,德政园租房,2室1厅  ,88平米  ,南 北,距离2号线万家丽广场站394米,2300,1,furong
湘运新村 2室1厅 1800元,湘运新村  ,马王堆租房,2室1厅  ,70平米  ,东,距离2号线万家丽广场站282米,1800,1,furong
湘域熙岸 3室2厅 1900元,湘域熙岸  ,尚东租房,3室2厅  ,127平米  ,南,距离2号线人民东路站413米,1900,2,furong
凯通公馆 1室1厅 2000元,凯通公馆  ,火车站租房,1室1厅  ,46平米  ,南 北,距离2号线长沙火车站站606米,2000,0,furong
湘域相遇 1室1厅 2700元,湘域相遇  ,火车站租房,1室1厅  ,62平米  ,南,距离2号线锦泰广场站649米,2700,0,furong
菲莎公馆 1室1厅 2300元,菲莎公馆  ,马王堆租房,1室1厅  ,40平米  ,东,随时看房,2300,1,furong
东方芙蓉 2室1厅 2600元,东方芙蓉  ,马王堆租房,2室1厅  ,72平米  ,南,距离2号线万家丽广场站995米,2600,0,furong
银力家园 3室2厅 3500元,银力家园  ,马王堆租房,3室2厅  ,131平米  ,南,距离2号线万家丽广场站407米,3500,0,furong
万象新天 3室2厅 3000元,万象新天  ,晚报租房,3室2厅  ,85平米  ,南,距离2号线长沙火车站站968米,3000,0,furong
百纳公寓 3室2厅 4200元,百纳公寓  ,马王堆租房,3室2厅  ,120平米  ,南 北,距离2号线万家丽广场站493米,4200,0,furong
